eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_T~HG002-T2TQ100v0.9-dipz2k_Q~v4.2.1_TR~4.2.1	GRCh38_HG002-T2TQ100v0.9-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v0.9-dipz2k	smvar	none	exclude	smvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v0.9-dipz2k_Q~HG2-HPRCcur.20211005-DB	GRCh38_HG002-T2TQ100v0.9-dipz2k_smvar-excluded	happy	default	HG2-HPRCcur.20211005-DB	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v0.9-dipz2k	smvar	none	exclude	smvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v0.9-dipz2k_Q~HifiDV_TR~none	GRCh38_HG002-T2TQ100v0.9-dipz2k_smvar-excluded	happy	default	HG2-HifiDV-38	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v0.9-dipz2k	smvar	none	exclude	smvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-CRMGv1.00_Q~HG002-T2TQ100v0.9	GRCh38_HG002-T2TQ100v0.9-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh38_HG002-T2TQ100v0.9-dipz2k	stvar	svwiden.split_multi	exclude	stvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v0.9-dipz2k_Q~HG2-sentLRSV-ontR9~none	GRCh38_HG002-T2TQ100v0.9-dipz2k_stvar-excluded	truvari	default	HG2-sentLRSV-ontR9	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v0.9-dipz2k	stvar	svwiden.split_multi	exclude	stvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v0.9-dipz2k_Q~HG2-sentLRSV-pbHiFichem2.2~none	GRCh38_HG002-T2TQ100v0.9-dipz2k_stvar-excluded	truvari	default	HG2-sentLRSV-pbHiFichem2.2:	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v0.9-dipz2k	stvar	svwiden.split_multi	exclude	stvarallwlongHP	HG2-T2TQ100-V0.9	GRCh38	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-T2TQ100v0.9-dipz2k_Q~v4.2.1_TR~4.2.1	GRCh37_HG002-T2TQ100v0.9-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v0.9-dipz2k	smvar	none	exclude	smvarallwlongHP	HG2-T2TQ100-V0.9	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-v0.6_Q~HG002-T2TQ100v0.9	GRCh37_HG002-T2TQ100v0.9-dipz2k_stvar-exclude	truvari	default	v0.6	True	True	True	GRCh37_HG002-T2TQ100v0.9-dipz2k	stvar	svwiden.split_multi	exclude	stvarallwlongHP	HG2-T2TQ100-V0.9	GRCh37	dipcall	z2k	-z200000,10000
