eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh37_T~HG002-HPRC-dipz2k_Q~HG002-v0.6	GRCh37_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	v0.6	True	True	True	GRCh37_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-HPRC-dipz2k_Q~HG002-CRMGv1.00	GRCh37_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh37_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh37	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-HPRC-dipz2k_Q~HG002-CRMGv1.00	GRCh38_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh38_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh38	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-verrkoV1.1-V0.6-dipz2k_Q~HG002-v0.6	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	v0.6	True	True	True	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-verrkoV1.1-V0.6-dipz2k_Q~HG002-CRMGv1.00	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh37	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-verrkoV1.1-V0.6-dipz2k_Q~HG002-CRMGv1.00	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
