eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_HG008N~v20250618-dipz2k_Q~RevioDV_TR~none	GRCh38_HG8N-v20250618-dipz2k_smvar-excluded	happy	default	HG8N-RevioDV	FALSE	TRUE	FALSE	GRCh38_HG8N-v20250618-dipz2k	smvar	fix_XY_genotype	exclude	HG008smvarv0.021	HG8N-v20250618	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG008N~v20250618-dipz2k_Q~RevioPBSV_TR~none	GRCh38_HG8N-v20250618-dipz2k_stvar-excluded	truvari_refine	default	HG8N-RevioPBSV	FALSE	TRUE	FALSE	GRCh38_HG8N-v20250618-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.lcr.remap	exclude	HG008stvarv0.021	HG8N-v20250618	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG008T~v20250516-dipz2k_Q~RevioDV_TR~none	GRCh38_HG8T-v20250516-dipz2k_smvar-excluded	happy	default	HG8N-RevioDV	FALSE	TRUE	FALSE	GRCh38_HG8T-v20250516-dipz2k	smvar	fix_XY_genotype	exclude	HG008smvarv0.021	HG8T-v20250516	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG008T~v20250516-dipz2k_Q~RevioPBSV_TR~none	GRCh38_HG8T-v20250516-dipz2k_stvar-excluded	truvari_refine	default	HG8N-RevioPBSV	FALSE	TRUE	FALSE	GRCh38_HG8T-v20250516-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.lcr.remap	exclude	HG008stvarv0.021	HG8T-v20250516	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG008N~v20250618-pav_Q~RevioDV_TR~none	GRCh38_HG8N-v20250618-pav_smvar-excluded	happy	default	HG8N-RevioDV	FALSE	TRUE	FALSE	GRCh38_HG8N-v20250618-pav	smvar	fix_XY_genotype.end_info.trfanno.no_inv	exclude	HG008smvarv0.021pav	HG8N-v20250618	GRCh38	pav	giab	default
GRCh38_HG008N~v20250618-pav_Q~RevioPBSV_TR~none	GRCh38_HG8N-v20250618-pav_stvar-excluded	truvari_refine	default	HG8N-RevioPBSV	FALSE	TRUE	FALSE	GRCh38_HG8N-v20250618-pav	stvar	norm.fix_XY_genotype.end_info.trfanno.svinfo.lcr	exclude	HG008stvarv0.021pav	HG8N-v20250618	GRCh38	pav	giab	default
GRCh38_HG008T~v20250516-pav_Q~RevioDV_TR~none	GRCh38_HG8T-v20250516-pav_smvar-excluded	happy	default	HG8N-RevioDV	FALSE	TRUE	FALSE	GRCh38_HG8T-v20250516-pav	smvar	fix_XY_genotype.end_info.trfanno.no_inv	exclude	HG008smvarv0.021pav	HG8T-v20250516	GRCh38	pav	giab	default
GRCh38_HG008T~v20250516-pav_Q~RevioPBSV_TR~none	GRCh38_HG8T-v20250516-pav_stvar-excluded	truvari_refine	default	HG8N-RevioPBSV	FALSE	TRUE	FALSE	GRCh38_HG8T-v20250516-pav	stvar	norm.fix_XY_genotype.end_info.trfanno.svinfo.lcr	exclude	HG008stvarv0.021pav	HG8T-v20250516	GRCh38	pav	giab	default
