eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_HG002_T~T2TQ100v1.1_Q~EEont_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-ont-clair3	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEjhu_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-jhu-imputefirst	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEillumina_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-illumina-dragen	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEgoogle_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-google-deepvariant	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~RevioPBSV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-RevioPBSV	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~CRMGv1.00_TR~CMRG	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	CMRGv1.00-stvar	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~Sawfish_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-sawfish	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~DRAGENv4.3.4stvar_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-DRAGENv4.3.4-stvar	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-CuteSV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-CuteSV	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-pbsv_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-pbsv	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-sniffles1_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-sniffles1	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-sniffles2_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-sniffles2	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-svim_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-svim	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-CuteSV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-CuteSV	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-pbsv_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-pbsv	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-sniffles1_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-sniffles1	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-sniffles2_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-sniffles2	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-svim_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-svim	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEsvdss2_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-svdss2	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEilluminaSV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-illumina-dragen-sv	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEiter_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-iter-dragen	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEpacbioSawfish_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-pacbio-sawfish	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEbaylor-ont_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-baylor-ont	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEbaylor-hifi_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2Q100EE-baylor-hifi	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~v4.2.1_TR~4.2.1	GRCh37_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~RevioDV_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-RevioDV	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~RevioPBSV_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-RevioPBSV	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~sentLRSV-q20.guppy5.80x_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-sentLRSV-q20.guppy5.80x	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~sentLRSV-ontR9_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-sentLRSV-ontR9	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~sentLRSV-pbhifi_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-sentLRSV-pbhifi	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~sentLRSV-pbhiFichem2.2_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-sentLRSV-pbHiFichem2.2	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~v0.6_TR~v0.6	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	v0.6	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-CuteSV_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-CuteSV	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-pbsv_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-pbsv	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-sniffles1_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-sniffles1	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-sniffles2_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-sniffles2	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~HiFi-Snifpub-svim_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-HiFi-Snifpub-svim	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-CuteSV_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-CuteSV	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-pbsv_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-pbsv	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-sniffles1_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-sniffles1	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-sniffles2_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-sniffles2	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~ONT-Snifpub-svim_TR~none	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-ONT-Snifpub-svim	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~ILMN-CHM13v2	CHM13_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-ILMN-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~Hifi-DV-CHM13v2	CHM13_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-Hifi-DV-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~RevioDV_TR~none	CHM13_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-RevioDV	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~RevioPBSV_TR~none	CHM13_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-RevioPBSV	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~Sniffles2_TR~none	CHM13_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari_refine	default	HG2-Sniffles2-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.1-dipz2k	stvar	norm.fix_XY_genotype.trfanno.svinfo.repmask.lcr.remap	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
