eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_HG002_T~T2TQ100v1.1_Q~v4.2.1_TR~4.2.1	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HPRCcur.20211005-DB_TR~dipbed	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-HPRCcur.20211005-DB	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HPRCcur.20211005-DB-gtfix_TR~dipbed	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-HPRCcur.20211005-DB-gtfix	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~HifiDV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-HifiDV	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
ßGRCh38_HG002_T~T2TQ100v1.1_Q~DRAGENv4.3.4smvar_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-DRAGENv4.3.4-smvar	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~RevioDV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2-RevioDV	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEultima_TR~ultimaHCR	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-ultima-ug	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEsentieon_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-sention-hybrid	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEroche_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-roche-neusomatic	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~EEpacbioDV_TR~none	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	HG2Q100EE-pacbio-deepvariant	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	fix_XY_genotype.trfanno	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
