eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh37_HG002_T~T2TQ100v1.1_Q~v5.0q-smvar_TR~v5.0q	GRCh37_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	v5.0q-smvar	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v1.1-dipz2k	smvar	xy_trf	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_HG002_T~T2TQ100v1.1_Q~v5.0q-stvar_TR~v5.0q	GRCh37_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari	default	v5.0q-stvar	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v1.1-dipz2k	stvar	norm_xy_trf_sv_lcr	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh37	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~v5.0q-smvar_TR~v5.0q	GRCh38_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	v5.0q-smvar	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	smvar	xy_trf	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_HG002_T~T2TQ100v1.1_Q~v5.0q-stvar_TR~v5.0q	GRCh38_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari	default	v5.0q-stvar	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.1-dipz2k	stvar	norm_xy_trf_sv_lcr	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	GRCh38	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~v5.0q-smvar_TR~v5.0q	CHM13_HG002-T2TQ100v1.1-dipz2k_smvar-excluded	happy	default	v5.0q-smvar	FALSE	TRUE	TRUE	CHM13_HG002-T2TQ100v1.1-dipz2k	smvar	xy_trf	exclude	HG002Q100smvarv0.020	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_HG002_T~T2TQ100v1.1_Q~v5.0q-stvar_TR~v5.0q	CHM13_HG002-T2TQ100v1.1-dipz2k_stvar-excluded	truvari	default	v5.0q-stvar	FALSE	TRUE	TRUE	CHM13_HG002-T2TQ100v1.1-dipz2k	stvar	norm_xy_trf_sv_lcr	exclude	HG002Q100stvarv0.017	HG2-T2TQ100-V1.1	CHM13v2.0	dipcall	z2k	-z200000,10000
