eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_T~HG002-HPRC-dipz2k_Q~v4.2.1_TR~4.2.1	GRCh38_HG002-HPRC-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh38_HG002-HPRC_dipz2k	smvar	none	exclude	smvarall	HG2-HPRC-20211005	GRCh38	dipcall	z2k	"-z200000,10000"
GRCh38_T~HG002-HPRC-dipz2k_Q~verkko0531-DB_TR~verkko-Dbbed	GRCh38_HG002-HPRC-dipz2k_smvar-excluded	happy	default	HG2-verkko-v1.0-053122-DB	FALSE	TRUE	TRUE	GRCh38_HG002-HPRC_dipz2k	smvar	none	exclude	smvarall	HG2-HPRC-20211005	GRCh38	dipcall	z2k	"-z200000,10000"
GRCh38_T~HG002-HPRC-dipz2k_Q~verkko0531-DB_TR~HPRC-Dbbed	GRCh38_HG002-HPRC-dipz2k_smvar-excluded	happy	default	HG2-verkko-v1.0-053122-DB	FALSE	TRUE	HG2-HPRCcur.20211005-DB	GRCh38_HG002-HPRC_dipz2k	smvar	none	exclude	smvarall	HG2-HPRC-20211005	GRCh38	dipcall	z2k	"-z200000,10000"
